posting_yyyymm|BUKRS|awtyp|document_count
200907|6300|BKPF|18
200907|1000|RMRP|18
200907|2000|VBRK|15
200907|3100|MKPF|12
200907|5000|BKPF|11
200907|3100|VBRK|9
200907|6300|MKPF|8
200907|5000|VBRK|7
200907|2000|RMRP|6
200907|3100|RMRP|4
200907|5000|RMRP|4
200907|6200|MKPF|4
200907|1000|AUAK|4
200907|5000|BKPFF|4
200907|6300|VBRK|3
200907|6210|MKPF|3
200907|3100|BKPF|2
200907|6200|VBRK|2
200907|6300|RMRP|1
200906|1000|MKPF|316
200906|1000|BKPF|93
200906|1000|VBRK|71
200906|2000|BKPF|51
200906|2000|MKPF|17
200906|5000|MKPF|16
200906|6210|MKPF|14
200906|6300|MKPF|13
200906|3100|MKPF|13
200906|6100|MKPF|11
200906|2000|VBRK|9
200906|1000|RMRP|8
200906|6100|BKPF|7
200906|6200|VBRK|6
200906|6200|MKPF|6
200906|1000|BKPFF|6
200906|6300|BKPF|5
200906|1000|AUAK|3
200906|6300|RMRP|3
200906|6100|VBRK|3
200906|2000|BKPFF|3
200906|3000|MKPF|2
200906|6200|BKPFF|2
200906|5000|VBRK|2
200906|6300|VBRK|2
200906|6210|VBRK|2
